#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   57529.76327160          3.24          0.21       269.250         8.259       335.146        98.265
   57529.76372304          3.08          0.22       268.709        26.837       335.882       116.841
   57529.76918297          3.18          1.32       265.361         0.469       341.156        90.469
   57529.76996929          4.86          0.20       224.000       -49.676        22.715        40.263
   57529.77048579          2.60          2.31       122.240        70.696       124.554       160.645
   57529.78117096          2.85          0.40        95.906        64.957       154.761       154.942
   57529.78708704          3.70          0.72       355.164        -4.551       257.823        85.540
   57529.78994865          4.42          0.29        96.985       -14.832       157.061        75.147
   57529.79244769          4.98          0.27       272.228       -33.017       342.627        56.996
   57529.79261657          2.63          1.44         1.395        36.453       253.581       126.541
   57529.79264034          2.74          1.22       218.256        22.533        36.754       112.466
   57529.79337030          2.92          0.24       221.903        16.644        33.365       106.580
   57529.79655503          2.00          0.93        10.520        23.134       245.875       113.220
   57529.79806469          2.71          0.37       323.367         4.026       293.583        94.103
   57529.79898645          2.85          0.54       129.642        40.819       127.584       130.756
   57529.80109367          3.01          1.06       133.724        19.148       124.297       109.079
   57529.80789860          3.18          0.56        20.188         1.512       240.312        91.595
   57529.81071037          2.93          0.48       300.130        -1.761       321.376        88.291
   57529.81088971          2.65          0.42       277.711        30.556       343.915       120.573
   57529.81108362          3.21          1.10       307.090        13.859       314.571       103.919
   57529.81195059          2.96          0.50       192.491        40.418        69.488       130.331
   57529.81398669          4.15          0.89       255.571        -5.194         7.111        84.790
   57529.82685359          2.98          2.98       356.663        64.974       270.677       155.063
   57529.83163618          2.86          0.50       180.240        17.903        88.826       107.810
   57529.83812238          2.96          0.99       318.449        23.819       312.982       113.891
   57529.83934378          2.91          1.44       217.312        17.555        54.551       107.485
   57529.83994735          3.11          0.20       114.196         8.118       157.862        98.072
   57529.84296001          4.83          0.20       131.354       -31.368       141.842        58.561
   57529.84604650          3.21          0.26       157.505        16.329       116.754       106.240
   57529.85165457          3.56          0.47       276.286         8.572         0.016        98.588
   57529.85266304          2.82          1.18       323.008        65.325       313.757       155.399
