#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56758.26551326          2.93          0.69        70.510         2.420       314.287        92.448
   56758.27823557          2.82          0.39       228.048        24.433       161.363       114.372
   56758.27853819          2.90          1.39       320.367        -0.309        69.134        89.752
   56758.28162998          2.77          0.72       222.892         3.596       167.721        93.531
   56758.28202017          3.03          0.84       267.065        37.219       123.751       127.208
   56758.28474567          2.91          0.77        30.154         6.226         1.586        96.298
   56758.28474870          5.55          0.94       340.149       -40.578        51.570        49.500
   56758.28679981          3.05          0.51       232.536        31.290       159.979       121.234
   56758.28729867          3.30          0.43       146.048         1.786       246.609        91.717
   56758.28837466          4.48          0.20       261.142       -38.347       131.839        51.639
   56758.29356620          2.75          0.98       330.200        38.419        64.762       128.485
   56758.29484170          3.42          0.77       165.108        84.599       229.982       174.523
   56758.29710859          3.10          2.07        79.640        11.168       316.549       101.185
   56758.30077071          4.00          0.23       100.386        -8.314       297.151        81.671
   56758.30463233          3.15          0.72       152.316        41.534       246.561       131.463
   56758.30986912          4.89          0.29       313.335       -75.277        87.247        14.782
   56758.31219686          2.90          0.29       294.530        -2.811       107.116        87.219
   56758.31677950          2.96          0.66       207.055        34.584       196.266       124.507
   56758.31865446          5.06          0.20       330.421       -58.519        73.495        31.553
   56758.31967257          2.74          0.31        13.375         7.094        30.975        97.173
   56758.32123646          3.65          0.71       208.263        24.290       196.660       114.214
   56758.32409785          4.81          0.32       190.607       -36.695       215.322        53.222
   56758.32507726          3.01          0.25       109.303        46.306       296.913       136.284
   56758.32771581          2.88          0.99       342.108        18.202        65.157       108.276
   56758.32825850          2.53          1.06       352.328        29.326        55.132       119.404
   56758.32908616          4.35          0.24       292.466       -12.588       115.263        77.440
   56758.32923588          3.07          0.92        52.755        53.827       354.966       143.880
   56758.33095977          5.50          0.29       247.305       -43.967       161.040        46.000
   56758.33101243          3.13          1.01       188.147        -5.090       220.288        84.827
   56758.33255035          2.78          0.62       161.766         8.567       247.221        98.488
   56758.33610569          3.10          2.48       331.301        25.852        79.003       115.918
   56758.33754811          5.18          0.20       161.319       -32.418       249.495        57.502
   56758.33856105          2.87          0.40       220.395        20.632       190.785       110.566
   56758.34167330          4.83          0.27        29.967       -23.756        22.345        66.314
   56758.34438667          3.31          1.79        82.595        71.155       330.447       161.172
