#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   57891.85983245          2.49          3.16       293.187        12.729       342.866       102.772
   57891.86043576          2.88          0.26       189.330        31.620        86.934       121.524
   57891.86226581          3.42          0.20       339.183         0.693       297.733        90.787
   57891.86351955          4.90          0.30        61.534       -28.865       215.890        61.174
   57891.86578225          2.68          5.16       143.252        16.181       134.917       106.098
   57891.86780963          2.62          0.66       304.839        53.989       334.180       144.046
   57891.87933279          2.98          1.44        67.838         1.421       215.240        91.451
   57891.88416513          3.00          0.74       272.378        12.742        12.460       102.751
   57891.88677162          3.07          0.35        99.507        10.682       186.240       100.659
   57891.89061815          2.98          1.41        19.039        31.021       268.092       121.110
   57891.89204360          2.92          0.86        14.735         6.958       272.928        97.051
   57891.89225199          2.97          0.31       124.030        78.984       163.318       168.927
   57891.89450156          3.16          0.87        29.661        23.050       258.872       113.131
   57891.89847789          2.88          0.95       234.619        25.166        55.402       115.113
   57891.90039414          2.68          0.94         7.466        47.248       283.196       137.342
   57891.90550053          2.97          0.84       230.755         5.894        61.769        95.834
   57891.90575968          3.29          1.21        94.018        -2.528       198.607        87.458
   57891.91765966          2.87          2.77        26.466        57.225       270.376       147.309
   57891.91806567          2.71          1.41       314.303        37.881       342.805       127.951
   57891.91843494          3.37          0.20         5.007        43.095       292.175       133.190
   57891.91902444          2.91          0.67        94.417        20.284       202.955       110.271
   57891.91973914          2.92          1.05       325.444        17.182       332.233       107.265
   57891.91980888          2.54          0.57        49.669         8.305       248.012        98.365
   57891.92095156          2.98          1.36       142.775        28.596       155.295       118.515
   57891.92314400          3.09          0.42       127.816        15.195       171.057       105.129
   57891.92324748          4.70          0.34       119.286       -61.888       179.807        28.054
   57891.92607727          4.60          0.33       244.840       -38.786        55.027        51.176
   57891.92969692          2.97          1.53        59.679         8.095       241.570        98.140
   57891.93383841          2.51          0.85       343.004        10.709       319.753       100.804
   57891.93558588          5.03          0.21        61.082       -38.200       242.379        51.843
   57891.93564428          2.89          0.88       311.787        27.932       351.652       117.999
   57891.93908946          2.85          0.59       239.840        26.167        64.845       116.119
   57891.94721472          4.79          0.20       180.438       -75.155       127.109        14.739
   57891.95146369          4.48          0.68       153.384       -83.192       156.074         6.711
   57891.95156802          5.91          1.51       359.787       -28.562       309.370        61.540
   57891.95271010          5.19          0.20        96.105       -53.750       213.602        36.231
   57891.95361443          4.13          0.20       189.907       -18.381       119.972        71.518
   57891.95607424          2.95          0.50       319.894        12.976       350.898       103.054
   57891.95774646          5.28          0.20       126.415       -51.423       185.068        38.509
   57891.95891127          3.93          0.20       193.695       -10.628       118.098        79.273
   57891.96533471          4.54          0.20       264.906       -20.141        49.173        69.854
   57891.97046145          2.79          0.77       284.730        65.445        31.444       155.471
   57891.97299244          5.44          0.22        89.519       -31.956       227.434        58.038
   57891.97709531          2.97          0.23       231.856        27.673        86.547       117.612
   57891.98085913          5.00          0.26       175.066       -67.740       144.665        22.154
   57891.98086750          3.06          0.78        90.570         0.410       229.162        90.404
   57891.98218659          4.59          0.20        81.350       -38.871       238.942        51.139
   57891.98460510          2.80          0.87       102.438        18.237       218.611       108.212
   57891.99008466          3.48          0.35       323.226        45.139       359.887       135.217
   57891.99097123          5.29          0.43       180.905       -26.913       142.464        62.983
   57891.99163321          4.65          0.36        91.733       -22.707       231.929        67.284
   57891.99401707          4.79          0.20        24.155       -42.969       300.367        47.124
   57892.00287363          5.01          0.27       136.974       -30.908       190.739        59.013
   57892.01322990          3.52          0.29       304.045        -2.127        27.360        87.931
   57892.01550672          2.93          0.28       280.807        14.954        51.448       104.973
   57892.02091329          3.07          0.70       221.147         1.084       113.033        91.009
   57892.02477453          3.05          1.27       124.179        29.586       211.355       119.529
   57892.02681559          2.83          0.72        18.787        48.634       317.495       138.726
   57892.03215612          3.18          0.90       318.993         8.056        19.257        98.132
   57892.03337457          3.29          0.66        61.046         7.236       277.631        97.282
   57892.03561184          2.72          0.26        95.482         2.378       244.008        92.365
   57892.03812867          2.88          2.46       248.166        37.836        92.299       127.799
   57892.03929598          3.07          1.23       159.750        21.151       181.056       111.056
   57892.03951477          4.78          0.21       142.995       -60.533       198.011        29.380
   57892.04226470          5.42          0.20       325.787       -56.811        16.019        33.278
   57892.04371486          3.04          1.51        66.352        41.012       275.989       131.051
   57892.04432988          5.57          0.20         1.056       -28.432       341.587        61.670
   57892.04718362          2.86          0.33       197.442        -0.305       146.221        89.598
   57892.04826002          2.93          0.47        61.326        11.598       282.717       101.644
   57892.06054498          2.88          0.35       298.052        35.692        50.499       125.737
   57892.06070072          3.49          0.68       342.212        -1.887         6.335        88.208
   57892.06180441          2.92          0.98       285.316        17.790        63.657       107.816
   57892.06821075          3.04          0.79       207.127         7.235       144.132        97.144
   57892.06901387          3.03          0.35       220.180        -6.280       131.355        83.642
   57892.08079289          3.11          0.57       102.686         6.298       253.107        96.275
   57892.08540156          2.81          0.36       170.294        55.306       187.142       145.210
   57892.08585498          2.88          0.97        15.016        66.373       342.561       156.467
   57892.09490435          4.84          0.21       332.182       -29.936        28.685        60.154
   57892.09817485          2.97          0.27        45.491         0.794       316.587        90.864
   57892.11301473          2.76          2.43       110.646        52.695       256.668       142.663
   57892.11465812          2.98          0.72       243.305        14.306       124.737       104.259
   57892.12821573          2.93          0.40       166.540        76.360       206.272       166.268
   57892.12834995          3.01          0.94       165.254         2.589       207.711        92.491
   57892.13285588          5.39          0.20       220.910       -31.074       153.638        58.848
   57892.13330351          2.79          0.64        63.597        35.552       311.102       125.597
   57892.13785983          3.19          1.33       156.042        74.133       220.210       164.048
   57892.14086310          2.57          4.39       277.320        78.627       100.634       168.634
   57892.14099473          3.20          1.88       344.731         8.823        32.806        98.917
   57892.14118331          3.39          1.24       291.487        57.321        86.252       147.352
   57892.14157828          2.97          0.24       340.823        46.946        36.957       137.034
   57892.14416850          4.70          0.21       245.559       -20.023       133.080        69.933
   57892.14442794          5.04          0.20       200.202       -32.357       178.543        57.546
   57892.14565740          2.85          0.35       186.212         1.804       193.000        91.704
   57892.14723094          4.93          0.24       185.685       -34.921       194.088        54.976
   57892.14850045          2.97          0.36       158.612        43.583       221.592       133.494
   57892.15270545          3.67          0.20       140.637       -11.428       241.136        78.494
   57892.15476593          3.19          2.86       206.058        43.228       176.478       133.139
   57892.15515348          3.19          1.70       290.371         5.395        92.277        95.426
   57892.15659155          2.87          0.99       209.561        19.027       173.612       108.940
   57892.16233664          2.83          2.39       129.071         9.667       256.154        99.606
   57892.16371990          2.90          0.39        47.060         3.227       338.676        93.295
   57892.16441391          4.62          0.20       158.053       -35.847       227.960        54.058
   57892.16600392          2.72          1.19       123.771        19.040       262.763       108.987
   57892.16788469          3.32          0.88       139.699         1.691       247.539        91.616
   57892.17093271          4.89          0.47       258.948       -55.234       129.243        34.746
   57892.17151447          4.53          0.48       261.369       -58.658       127.010        31.327
   57892.17355796          3.38          0.28       269.122        13.019       120.182       103.013
   57892.17929016          3.16          0.85       289.844        48.908       101.614       138.935
   57892.18183669          3.05          0.27       171.723         4.264       220.549        94.166
   57892.19113197          2.53          0.54       157.851        75.719       237.622       165.634
   57892.19361946          2.89          2.65         9.179        17.185        27.349       107.280
   57892.19594534          5.43          0.40        78.172       -54.437       319.339        35.583
   57892.19656716          2.99          0.38       332.226        67.889        65.486       157.969
   57892.19902160          3.04          0.38        71.435        30.947       326.994       120.980
   57892.19910171          4.97          0.25       279.899       -21.501       118.566        68.513
   57892.20060263          4.48          0.20       169.816       -17.073       229.237        72.828
   57892.20149584          5.19          2.63       256.607       -51.227       142.638        38.748
   57892.20269630          3.61          0.36        95.747        -6.599       304.074        83.393
   57892.20277934          3.02          0.50       128.200        28.283       271.596       118.226
   57892.20333028          3.18          0.59       126.907        37.873       273.068       127.818
   57892.20350515          3.13          0.98       202.127         9.731       197.972        99.639
   57892.21165793          5.10          0.25       171.345       -74.357       231.751        15.541
   57892.21312286          4.90          0.20        43.607       -47.218         0.040        42.855
   57892.21443787          3.24          0.72       105.126        51.566       298.805       141.545
   57892.22668578          3.13          0.32       257.291        40.601       151.247       130.575
   57892.23542576          3.21          1.27         8.955        27.144        42.663       117.237
   57892.23703779          4.27          0.20       137.267       -18.183       274.958        71.745
   57892.23796344          2.73          2.01       126.206         7.710       286.322        97.655
   57892.23811740          2.68          1.17        59.352        23.605       353.210       113.655
   57892.24002244          3.03          0.41       280.784        -0.686       132.490        89.327
   57892.24398361          3.56          0.24       209.354        11.382       205.359       101.296
   57892.24812891          3.10          1.68       136.485         5.405       279.716        95.337
   57892.25264758          2.92          1.00       172.413         9.094       245.419        98.999
   57892.25463631          2.75          0.69        98.961        22.979       319.558       112.968
   57892.26443400          2.87          0.68       281.937        37.357       140.221       127.371
   57892.26499024          2.81          0.31       217.164        13.551       205.136       103.472
   57892.27140367          2.80          0.41        26.485        26.817        38.107       116.902
   57892.27342988          2.97          0.32       147.927        46.441       277.356       136.365
   57892.27474963          5.19          0.20       352.494       -35.836        73.313        54.260
   57892.27716730          3.18          0.38       280.974        30.569       145.765       120.581
   57892.27902117          4.70          0.43        32.387       -42.426        35.021        47.657
   57892.27961280          2.83          0.88       147.738        79.486       279.548       169.412
   57892.28168734          2.92          0.99       187.635         7.677       240.682        97.582
   57892.28184913          3.02          0.63        27.488        62.030        40.822       152.112
   57892.28227708          5.57          0.20       223.638       -47.191       204.819        42.736
   57892.28234506          3.13          0.58        99.528        -0.227       329.034        89.759
   57892.28251304          3.15          2.88        61.620        25.566         6.964       115.613
   57892.28424253          5.46          0.20       331.586       -40.590        97.616        49.495
   57892.28820759          2.90          0.39       205.220         6.092       225.453        96.004
   57892.29176358          3.15          0.35        44.476        47.426        27.419       137.494
   57892.29365833          3.03          0.54       275.666        11.268       156.989       101.273
   57892.30715590          2.79          2.27       248.456         4.524       189.059        94.486
   57892.30943082          3.20          2.39        14.711         5.359        63.625        95.449
   57892.31034484          3.00          1.04       111.185         7.713       327.472        97.681
   57892.31311934          3.34          2.00       145.703        -7.256       293.970        82.666
   57892.31538295          2.90          0.37       358.992        24.606        81.496       114.696
   57892.31603605          2.36          0.52       328.538        62.425       112.280       152.498
   57892.31757050          4.80          0.40       251.488       -13.922       189.757        76.044
   57892.31940752          2.90          0.60       282.910        -1.839       159.019        88.178
   57892.32547830          3.22          2.07       135.850        70.330       308.094       160.269
   57892.32641718          2.99          0.41       277.189         4.668       167.280        94.676
   57892.32751032          3.30          0.56       258.315        14.491       186.565       104.468
   57892.33038617          3.00          0.41       234.478        27.566       211.454       117.509
   57892.33397892          3.38          0.36       104.575        38.023       342.555       128.003
   57892.33594399          5.97          1.81       142.675       -55.104       305.316        34.818
   57892.33691247          3.01          1.64       249.643        55.229       198.727       145.192
   57892.34208563          5.28          0.32       172.144       -39.115       277.988        50.789
   57892.34388579          2.87          2.24        62.764        60.191        27.877       150.235
   57892.34415411          4.90          0.20        96.752       -49.339       354.232        40.650
   57892.35663197          4.76          0.20       339.618       -66.972       115.677        23.119
   57892.35910047          2.81          0.77       343.088        39.579       113.203       129.662
   57892.36129100          2.70          0.30       295.161        74.694       162.192       164.726
   57892.36214244          2.90          1.29       137.293         9.850       320.060        99.783
   57892.36337197          4.94          0.90       247.840       -19.981       209.930        69.981
   57892.36772375          4.39          0.24       352.238       -17.906       107.137        72.186
   57892.37519194          4.95          0.20       196.035       -28.087       266.022        61.821
   57892.38197666          2.92          0.28        30.727        18.692        73.786       108.770
   57892.38617671          2.93          0.80       213.504        24.008       252.551       113.931
   57892.38654244          4.93          0.20       320.730       -36.964       145.396        53.109
   57892.39149756          2.86          1.33        51.679         2.425        56.283        92.482
   57892.39334211          2.91          0.73       198.447         7.689       270.178        97.601
   57892.40749851          2.84          0.33       227.348        62.683       246.504       152.621
   57892.40910021          2.95          0.67        64.182        62.668        49.986       152.708
