#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56414.88766102          3.26          0.25        99.896        15.511       170.419       105.491
   56414.88831088          3.10          1.33       309.225        43.758       321.395       133.808
   56414.89060115          4.96          0.20        24.780       -52.729       246.673        37.339
   56414.89822214          4.85          0.20       222.519       -24.273        51.593        65.672
   56414.89893345          2.99          1.18       216.680        15.586        57.731       105.525
   56414.90071002          2.93          0.88       329.184        16.729       305.871       106.796
   56414.90116495          3.04          0.42       281.057        10.494       354.161       100.513
   56414.90472075          5.07          0.20        58.115       -27.644       218.418        62.390
   56414.90824459          3.23          0.20       104.220        59.243       173.423       149.221
   56414.91342817          5.18          0.22       232.789       -33.208        46.795        56.748
   56414.91583911          2.90          0.77       178.678        22.679       101.824       112.600
   56414.91605101          3.02          0.32        56.767         0.627       223.818        90.664
   56414.92100319          3.36          1.68       239.953        65.268        42.558       155.231
   56414.92370560          2.53          3.68        56.667        65.199       226.538       155.238
   56414.92506964          2.97          0.69        79.533        46.268       204.227       136.277
   56414.92553359          2.86          0.21       291.661        33.532       352.388       123.563
   56414.92612071          3.41          0.25       311.408        33.481       332.845       123.534
   56414.92790037          3.45          0.36        45.834         5.720       239.023        95.769
   56414.92986292          4.91          0.21       255.045       -65.620        30.338        24.368
   56414.93504052          2.78          0.86       295.857        27.043       351.612       117.079
   56414.93828766          4.85          0.20       170.228       -20.326       118.379        69.592
   56414.94689691          3.20          2.78        77.246        23.433       214.440       113.445
   56414.95567947          3.32          2.17       336.729        24.223       318.172       114.295
   56414.95827247          2.83          0.21       324.736        53.347       331.145       143.410
   56414.95854479          4.96          0.20       334.348       -30.178       321.558        59.897
   56414.96395576          3.21          0.95       175.897        12.540       121.973       102.459
   56414.96941753          3.03          0.37       201.229        29.443        98.630       119.369
   56414.96963774          3.22          1.46       214.553        63.538        85.459       153.475
   56414.97202850          2.84          0.38       246.199        28.724        54.624       118.694
   56414.97558419          4.86          0.20       248.281       -57.000        53.664        32.975
   56414.97785459          2.76          2.71       152.812        84.531       149.725       174.462
   56414.98274586          3.02          0.64       322.365         8.938       342.300        99.002
   56414.98927183          5.05          0.20       351.631       -56.634       315.376        33.449
   56414.99232902          3.13          0.30       190.352         9.978       117.763        99.898
   56414.99309727          3.47          0.86       243.570        17.109        64.841       107.075
   56414.99388679          3.14          2.77       325.595        29.383       343.108       119.448
