#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   57136.95597434          2.91          2.66       150.364        23.363       136.221       113.282
   57136.95678125          3.59          0.27        38.466         7.532       248.428        97.596
   57136.95780733          3.05          0.56        47.620        23.818       239.621       113.872
   57136.95986509          4.95          0.29       226.549       -59.731        61.331        30.212
   57136.96116995          2.92          0.37       300.273        10.727       348.221       100.775
   57136.96240722          2.83          0.69       340.003        13.420       308.933       103.504
   57136.96771330          4.34          0.57       191.474       -12.184        99.358        77.727
   57136.96789851          2.69          0.72        52.844        33.430       238.021       123.478
   57136.96890192          2.70          1.02       145.933        76.279       145.148       166.205
   57136.97140990          2.95          0.93       335.245        59.768       316.991       149.847
   57136.97731524          3.38          0.96        61.200        48.660       233.023       138.698
   57136.97853735          3.47          0.31       152.451         1.202       142.295        91.118
   57136.98460814          3.00          0.81       339.890        23.932       317.066       114.015
   57136.99345038          4.96          0.20       344.996       -48.879       315.121        41.211
   57136.99515747          2.88          0.40       141.376        18.035       159.355       107.961
   57136.99520405          2.92          0.82       182.976        -1.258       117.785        88.651
   57136.99743505          2.97          0.45       212.029        12.692        89.549       102.617
   57136.99925885          2.65          1.92       342.978        69.108       319.316       159.191
   57136.99942966          3.29          0.36        84.981        13.718       217.292       103.719
   57137.00275073          3.03          1.88       290.426        11.104        13.079       101.137
   57137.00339255          3.09          1.54       222.457        37.427        81.308       127.362
   57137.00603745          2.96          2.25        57.662        41.505       246.951       131.549
   57137.00861047          3.27          0.93       125.012         9.005       180.583        98.948
   57137.01593291          4.66          0.20       179.398       -26.988       128.844        62.918
   57137.01982464          2.70          0.68       326.722        27.998       342.959       118.073
   57137.02038803          2.86          0.31       290.339         2.091        19.520        92.125
   57137.02066059          3.01          3.21       257.186        34.307        52.826       124.288
   57137.02134164          4.90          0.20        94.951       -37.828       215.324        52.155
   57137.02184341          2.61          0.45       218.302        12.316        92.088       102.246
   57137.02538586          2.70          0.44        88.725        24.218       222.899       114.215
   57137.02735139          3.20          0.80       192.366         3.576       120.001        93.487
   57137.02915443          3.16          0.41        31.374        11.140       281.643       101.214
   57137.02945532          2.65          1.07        94.754         1.790       218.376        91.776
   57137.03053378          2.63          3.77        35.117        57.262       278.325       147.332
   57137.03390530          4.64          0.32        30.937       -51.810       283.872        38.265
   57137.03709397          3.06          0.89        66.392        13.517       249.480       103.548
   57137.04057598          3.05          0.24       126.191         8.015       190.943        97.957
   57137.04110012          2.99          1.22       285.503        78.952        32.264       168.975
   57137.04490597          3.26          0.27       225.517        31.980        93.226       121.917
   57137.04493553          4.17          0.26       145.577       -14.509       173.152        75.411
   57137.04507213          3.17          0.88       100.021        28.332       218.701       118.313
   57137.04515150          2.97          4.34       358.367        72.711       320.439       162.798
   57137.04744642          3.01          0.20       322.958        -8.186       356.661        81.888
   57137.05806451          2.86          0.69       280.656        16.313        42.825       106.330
   57137.05843170          3.34          1.35        26.421        38.125       297.142       128.203
   57137.05906356          4.56          0.20       166.822       -17.007       156.998        72.901
   57137.05932696          2.82          0.77       126.612        64.897       197.150       154.844
   57137.06465490          2.90          0.87       312.453        46.377        13.453       136.436
   57137.06741978          3.02          3.33       140.506        26.857       186.299       116.786
   57137.06795962          3.15          0.35       148.150        -0.138       178.878        89.781
   57137.06929623          3.19          1.18       252.893        -2.205        74.612        87.769
   57137.07083755          3.16          1.10        47.580        57.425       280.390       147.484
   57160.04664898          2.87          1.27       209.552        16.521       132.463       106.442
   57160.04674104          3.44          0.33       130.387        15.847       211.635       105.787
