#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56044.13761172          3.39          2.16       139.725        24.343       215.150       114.287
   56044.14026635          5.38          0.32       286.636       -28.880        69.179        61.142
   56044.14192953          2.93          0.30        18.265        21.403       338.190       111.472
   56044.14990185          3.01          0.67       359.176        59.757         0.172       149.828
   56044.15090454          5.08          0.48        52.549       -46.582       307.218        43.462
   56044.15735329          3.07          0.88       238.552        10.165       123.480       100.122
   56044.16223363          2.85          0.55       135.340        -2.039       228.448        87.907
   56044.16304272          4.88          0.20       330.654       -48.331        33.385        41.736
   56044.16385182          2.93          2.25       226.382        47.129       138.039       137.074
   56044.16682295          2.87          0.53       175.899        16.531       189.539       106.456
   56044.17341818          2.89          0.88       242.603         3.607       125.221        93.569
   56044.17408015          2.93          0.44       356.559        16.207        11.510       106.279
   56044.17674194          2.99          0.78       241.836        64.298       127.311       154.258
   56044.17974074          3.28          3.73        62.389        63.057       307.601       153.095
   56044.18363980          3.14          0.32       192.868        40.851       178.653       130.778
   56044.18406310          3.02          0.54       210.937         2.806       160.726        92.739
   56044.18406503          3.15          1.60        20.494         4.128       351.177        94.197
   56044.18599047          3.09          0.80       303.581         2.712        68.785        92.749
   56044.18780902          4.64          0.43        81.561       -19.417       291.488        70.593
   56044.18882037          2.99          1.80       344.813        48.416        28.602       138.483
   56044.19024242          2.93          0.90       259.552        49.427       114.424       139.408
   56044.19460013          4.93          0.20        50.759       -50.640       324.789        39.407
   56044.19547124          3.35          0.25        23.511        33.901       352.263       123.967
   56044.19922875          2.84          1.01        16.593        11.788         0.550       101.857
   56044.20145009          2.90          1.06       184.181         6.380       193.759        96.304
   56044.20865968          5.15          1.59       292.500       -70.463        87.846        19.566
   56044.20900682          5.48          0.20         4.585       -60.100        16.100        29.976
   56044.20985123          3.18          3.53       253.214        55.500       127.857       145.472
   56044.21425278          3.16          1.17       186.827        36.566       195.736       126.493
   56044.21654863          2.68          1.83       213.628         3.897       169.764        93.832
   56044.21714266          2.90          1.11       202.948        12.589       180.661       102.519
   56044.22209997          3.03          0.26        44.911        36.966       340.456       127.020
